Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
100000,1.4075356,29.808999676270638,-2.309366,-3.5121599532316385,-3.5121599532316385,1.7675291,0.021750616,0.0002922871,0.19742905,0.0048717093,1.0
200000,1.3607599,103.5527809307605,-1.2164961,0.18259668647567162,0.18259668647567162,1.2084126,0.02365591,0.00027763014,0.1925434,0.0046279146,1.0
300000,1.3223498,221.4235588972431,0.42020386,6.147118639527705,6.147118639527705,1.0023774,0.02277567,0.00026218378,0.18739459,0.00437099,1.0
400000,1.295391,422.20353982300884,1.9633769,16.869913228845174,16.869913228845174,0.79915524,0.023291655,0.000247485,0.18249494,0.0041265,1.0
500000,1.2774469,540.3942857142857,3.0579302,23.536496503599757,23.536496503599757,0.643398,0.023746278,0.00023279639,0.1775988,0.0038821795,1.0
600000,1.2579664,610.9612903225807,3.6775854,27.491669228443733,27.491669228443733,0.5046355,0.02408052,0.0002173173,0.17243908,0.00362471,1.0
700000,1.2424835,706.3669064748201,4.060855,32.897844712511244,32.897844712511244,0.47176492,0.024874711,0.00020260482,0.16753492,0.0033799924,1.0
800000,1.2306113,722.4090909090909,4.2917876,34.06629094571778,34.06629094571778,0.32286912,0.02302577,0.00018793528,0.16264507,0.0031359892,1.0
900000,1.2219695,824.9516129032259,4.6082644,39.79072933235476,39.79072933235476,0.26008326,0.022231508,0.00017250105,0.15750031,0.0028792662,1.0
1000000,1.216524,816.3709677419355,4.678256,39.19309289668634,39.19309289668634,0.25891942,0.023144256,0.00015702596,0.15234196,0.002621864,1.0
1100000,1.2097757,806.3471074380166,4.621993,38.831970658458644,38.831970658458644,0.27305153,0.023961015,0.00014236095,0.1474536,0.002377936,1.0
1200000,1.1988965,877.5044247787611,4.6745353,42.718587814179145,42.718587814179145,0.19930072,0.024406977,0.00012767971,0.14255989,0.0021337378,1.0
1300000,1.1896333,835.7241379310345,4.6935225,40.31250356805736,40.31250356805736,0.24542162,0.023283157,0.000112247246,0.13741572,0.0018770446,1.0
1400000,1.1855437,798.9370078740158,4.681312,38.36653883813873,38.36653883813873,0.28894293,0.02243644,9.751378e-05,0.13250457,0.0016319781,1.0
1500000,1.1817669,925.4311926605504,4.7345395,45.672939733627736,45.672939733627736,0.104669355,0.023873419,8.2820916e-05,0.12760696,0.0013875866,1.0
1600000,1.1770571,852.8632478632478,4.788407,41.367676056664564,41.367676056664564,0.18390763,0.021822277,6.7314926e-05,0.122438274,0.0011296701,1.0
1700000,1.1739551,876.7368421052631,4.788228,43.01782985770184,43.01782985770184,0.118741065,0.023117866,5.260752e-05,0.117535815,0.000885037,1.0
1800000,1.1737263,878.6293103448276,4.816323,43.02371065986568,43.02371065986568,0.16795407,0.023760991,3.7911086e-05,0.112637,0.0006405863,1.0
1900000,1.1728823,877.9912280701755,4.8218417,42.84210901929621,42.84210901929621,0.17568627,0.022975983,2.2427928e-05,0.10747595,0.00038304966,1.0
2000000,1.1717696,933.2429906542056,4.8100505,46.00420959864822,46.00420959864822,0.13750976,0.023923427,7.725116e-06,0.102575004,0.00013849277,1.0
