Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
100000,1.4151413,15.281115167607036,-0.33881912,-4.4614490035955345,-4.4614490035955345,8.599942,0.023583792,0.00029230223,0.19743408,0.0048719607,1.0
200000,1.3888745,23.62929061784897,-2.9907663,-4.1842095131006225,-4.1842095131006225,1.1345067,0.023157934,0.00027768122,0.1925604,0.004628764,1.0
300000,1.3555305,42.478577939835915,-2.7624342,-3.5548678964729623,-3.5548678964729623,0.8465744,0.022031965,0.00026227,0.18742332,0.004372424,1.0
400000,1.3272291,65.16295264623956,-2.1011133,-2.8141435480217414,-2.8141435480217414,0.84095335,0.023695402,0.00024761897,0.18253963,0.0041287276,1.0
500000,1.3015678,79.63148936170212,-1.623733,-2.3587320289206,-2.3587320289206,0.9167055,0.023037132,0.00023297608,0.17765868,0.0038851681,1.0
600000,1.2838703,105.94511525795829,-1.0384462,-1.5145935424081571,-1.5145935424081571,0.8858841,0.024556555,0.00021755027,0.17251675,0.0036285855,1.0
700000,1.2631238,124.15,-0.60437435,-0.8923817603610688,-0.8923817603610688,0.8782973,0.025967827,0.00020207721,0.16735908,0.003371217,1.0
800000,1.243537,160.0282574568289,-0.24353428,0.24967118029676505,0.24967118029676505,0.89247704,0.024731712,0.00018735495,0.16245161,0.003126336,1.0
900000,1.2301568,170.79253112033194,0.1727982,0.6567010481327896,0.6567010481327896,0.81747353,0.023454836,0.00017266776,0.1575559,0.0028820392,1.0
1000000,1.2195586,203.18085106382978,0.47710317,1.5034965891827907,1.5034965891827907,0.83265764,0.023141218,0.00015723784,0.15241258,0.0026253883,1.0
1100000,1.211723,265.89304812834223,0.70897627,3.784239720662435,3.784239720662435,0.7725094,0.023259023,0.00014252751,0.14750916,0.0023807066,1.0
1200000,1.1996554,276.55080213903744,0.80828387,4.040614687503978,4.040614687503978,0.78085643,0.0240171,0.00012782737,0.1426091,0.0021361946,1.0
1300000,1.1889582,285.99050632911394,0.9364853,4.428638938107068,4.428638938107068,0.7412257,0.024238314,0.00011235404,0.13745132,0.001878821,1.0
1400000,1.1839001,382.4089068825911,1.4261959,7.571416613544047,7.571416613544047,0.6461015,0.023031741,9.7645076e-05,0.13254833,0.0016341617,1.0
1500000,1.1776597,426.61607142857144,1.6769093,9.01656206750444,9.01656206750444,0.6938193,0.025758594,8.295571e-05,0.12765189,0.0013898285,1.0
1600000,1.1727039,497.3523316062176,1.8720133,11.374818190391817,11.374818190391817,0.59157914,0.02265146,6.749478e-05,0.12249823,0.0011326616,1.0
1700000,1.1681617,417.95897435897433,1.8886174,8.899896474228692,8.899896474228692,0.6362135,0.023634419,5.203152e-05,0.11734382,0.00087545614,1.0
1800000,1.1651826,499.28248587570624,1.9788089,11.548932107646813,11.548932107646813,0.54485106,0.024162294,3.7290458e-05,0.112430125,0.00063026306,1.0
1900000,1.1627645,643.3032258064516,2.0383315,16.1241283816676,16.1241283816676,0.5511452,0.02319417,2.2542677e-05,0.10751419,0.0003849583,1.0
2000000,1.1616037,544.6277777777777,2.0701084,13.029388339651955,13.029388339651955,0.59103906,0.022680562,7.0609904e-06,0.10235363,0.00012744617,1.0
